.00500000000000000000 1000  -0.0000000000
.00950000000000000000 1000   0.0000000000
.01400000000000000000 1000  -0.0000000000
.01850000000000000000 1000   0.0000000000
.02300000000000000000 1000   0.0000000000
.02750000000000000000 1000  -0.0000000000
.03200000000000000000 1000   0.0000000000
.03650000000000000000 1000  -0.0000000000
.04100000000000000000 1000   0.0000000000
.04550000000000000000 1000   0.0000000000
.00500000000000000000 1400  -0.0000000000
.00950000000000000000 1400   0.0000000000
.01400000000000000000 1400  -0.0000000000
.01850000000000000000 1400  -0.0000000000
.02300000000000000000 1400  -0.0000000000
.02750000000000000000 1400  -0.0000000000
.03200000000000000000 1400  -0.0000000000
.03650000000000000000 1400            NaN
.04100000000000000000 1400            NaN
.04550000000000000000 1400            NaN
.00500000000000000000 1800   0.0000000000
.00950000000000000000 1800   0.0000000000
.01400000000000000000 1800   0.0000000000
.01850000000000000000 1800   0.0000000000
.02300000000000000000 1800            NaN
.02750000000000000000 1800            NaN
.03200000000000000000 1800            NaN
.03650000000000000000 1800            NaN
.04100000000000000000 1800            NaN
.04550000000000000000 1800            NaN
.00500000000000000000 2200   0.0000000000
.00950000000000000000 2200   0.0000000000
.01400000000000000000 2200  -0.0000000000
.01850000000000000000 2200            NaN
.02300000000000000000 2200            NaN
.02750000000000000000 2200            NaN
.03200000000000000000 2200            NaN
.03650000000000000000 2200            NaN
.04100000000000000000 2200            NaN
.04550000000000000000 2200            NaN
.00500000000000000000 2600  -0.0000000000
.00950000000000000000 2600   0.0000000000
.01400000000000000000 2600            NaN
.01850000000000000000 2600            NaN
.02300000000000000000 2600            NaN
.02750000000000000000 2600            NaN
.03200000000000000000 2600            NaN
.03650000000000000000 2600            NaN
.04100000000000000000 2600            NaN
.04550000000000000000 2600            NaN
.00500000000000000000 3000   0.0000000000
.00950000000000000000 3000  -0.0000000000
.01400000000000000000 3000            NaN
.01850000000000000000 3000            NaN
.02300000000000000000 3000            NaN
.02750000000000000000 3000            NaN
.03200000000000000000 3000            NaN
.03650000000000000000 3000            NaN
.04100000000000000000 3000            NaN
.04550000000000000000 3000            NaN
.00500000000000000000 3400   0.0000000000
.00950000000000000000 3400            NaN
.01400000000000000000 3400            NaN
.01850000000000000000 3400            NaN
.02300000000000000000 3400            NaN
.02750000000000000000 3400            NaN
.03200000000000000000 3400            NaN
.03650000000000000000 3400            NaN
.04100000000000000000 3400            NaN
.04550000000000000000 3400            NaN
.00500000000000000000 3800   0.0000000000
.00950000000000000000 3800            NaN
.01400000000000000000 3800            NaN
.01850000000000000000 3800            NaN
.02300000000000000000 3800            NaN
.02750000000000000000 3800            NaN
.03200000000000000000 3800            NaN
.03650000000000000000 3800            NaN
.04100000000000000000 3800            NaN
.04550000000000000000 3800            NaN
.00500000000000000000 4200  -0.0000000000
.00950000000000000000 4200            NaN
.01400000000000000000 4200            NaN
.01850000000000000000 4200            NaN
.02300000000000000000 4200            NaN
.02750000000000000000 4200            NaN
.03200000000000000000 4200            NaN
.03650000000000000000 4200            NaN
.04100000000000000000 4200            NaN
.04550000000000000000 4200            NaN
.00500000000000000000 4600  -0.0000000000
.00950000000000000000 4600            NaN
.01400000000000000000 4600            NaN
.01850000000000000000 4600            NaN
.02300000000000000000 4600            NaN
.02750000000000000000 4600            NaN
.03200000000000000000 4600            NaN
.03650000000000000000 4600            NaN
.04100000000000000000 4600            NaN
.04550000000000000000 4600            NaN
